skill_id,event_timestamp,created_timestamp,curriculum_score,industry_score,practical_score,projects_completed,internships_completed,certifications,coding_score,communication_score,problem_solving_score,teamwork_score,industry_demand_score,curriculum_relevance_score,skill_gap,employability_score,gap_level
SKILL_001,2026-01-01 00:00:00+00:00,2026-01-01 00:00:01+00:00,86.0,68.0,44.0,2,0,4,58.0,37.0,56.0,87.0,46.0,68.0,0.0,73.8,Low
SKILL_002,2026-01-01 00:00:01+00:00,2026-01-01 00:00:02+00:00,64.0,77.0,31.0,3,0,0,92.0,56.0,83.0,93.0,86.0,72.0,13.0,72.9,Medium
SKILL_003,2026-01-01 00:00:02+00:00,2026-01-01 00:00:03+00:00,49.0,86.0,91.0,2,2,3,98.0,37.0,85.0,41.0,65.0,53.0,37.0,84.55,High
SKILL_004,2026-01-01 00:00:03+00:00,2026-01-01 00:00:04+00:00,52.0,43.0,89.0,5,1,1,43.0,87.0,36.0,94.0,51.0,88.0,0.0,77.75,Low
SKILL_005,2026-01-01 00:00:04+00:00,2026-01-01 00:00:05+00:00,81.0,74.0,65.0,1,1,1,38.0,88.0,97.0,52.0,70.0,88.0,0.0,76.55,Low
SKILL_006,2026-01-01 00:00:05+00:00,2026-01-01 00:00:06+00:00,44.0,75.0,43.0,5,2,3,96.0,74.0,87.0,58.0,70.0,69.0,31.0,83.9,High
SKILL_007,2026-01-01 00:00:06+00:00,2026-01-01 00:00:07+00:00,75.0,68.0,44.0,4,0,0,43.0,35.0,42.0,97.0,55.0,95.0,0.0,66.2,Low
SKILL_008,2026-01-01 00:00:07+00:00,2026-01-01 00:00:08+00:00,42.0,74.0,64.0,0,2,4,75.0,62.0,41.0,46.0,78.0,77.0,32.0,68.85,High
SKILL_009,2026-01-01 00:00:08+00:00,2026-01-01 00:00:09+00:00,89.0,62.0,91.0,4,2,3,69.0,99.0,81.0,37.0,45.0,49.0,0.0,97.2,Low
SKILL_010,2026-01-01 00:00:09+00:00,2026-01-01 00:00:10+00:00,73.0,66.0,38.0,1,1,3,85.0,97.0,86.0,38.0,74.0,81.0,0.0,76.8,Low
SKILL_011,2026-01-01 00:00:10+00:00,2026-01-01 00:00:11+00:00,79.0,54.0,72.0,4,0,2,62.0,100.0,76.0,79.0,97.0,50.0,0.0,85.35,Low
SKILL_012,2026-01-01 00:00:11+00:00,2026-01-01 00:00:12+00:00,78.0,59.0,59.0,5,2,1,96.0,35.0,61.0,96.0,96.0,57.0,0.0,88.3,Low
SKILL_013,2026-01-01 00:00:12+00:00,2026-01-01 00:00:13+00:00,37.0,78.0,56.0,0,1,4,85.0,78.0,58.0,93.0,98.0,76.0,41.0,72.9,High
