skill_id,event_timestamp,employability_target
SKILL_001,2026-01-01 00:00:00+00:00,1
SKILL_002,2026-01-01 00:00:01+00:00,1
SKILL_003,2026-01-01 00:00:02+00:00,0
SKILL_004,2026-01-01 00:00:03+00:00,1
SKILL_005,2026-01-01 00:00:04+00:00,1
SKILL_006,2026-01-01 00:00:05+00:00,0
SKILL_007,2026-01-01 00:00:06+00:00,0
SKILL_008,2026-01-01 00:00:07+00:00,0
SKILL_009,2026-01-01 00:00:08+00:00,1
SKILL_010,2026-01-01 00:00:09+00:00,1
SKILL_011,2026-01-01 00:00:10+00:00,1
SKILL_012,2026-01-01 00:00:11+00:00,1
SKILL_013,2026-01-01 00:00:12+00:00,0
SKILL_014,2026-01-01 00:00:13+00:00,1
SKILL_015,2026-01-01 00:00:14+00:00,1
SKILL_016,2026-01-01 00:00:15+00:00,0
SKILL_017,2026-01-01 00:00:16+00:00,0
SKILL_018,2026-01-01 00:00:17+00:00,0
SKILL_019,2026-01-01 00:00:18+00:00,0
SKILL_020,2026-01-01 00:00:19+00:00,1
SKILL_021,2026-01-01 00:00:20+00:00,0
SKILL_022,2026-01-01 00:00:21+00:00,0
SKILL_023,2026-01-01 00:00:22+00:00,0
SKILL_024,2026-01-01 00:00:23+00:00,1
SKILL_025,2026-01-01 00:00:24+00:00,1
SKILL_026,2026-01-01 00:00:25+00:00,0
SKILL_027,2026-01-01 00:00:26+00:00,1
SKILL_028,2026-01-01 00:00:27+00:00,1
SKILL_029,2026-01-01 00:00:28+00:00,1
SKILL_030,2026-01-01 00:00:29+00:00,1
SKILL_031,2026-01-01 00:00:30+00:00,0
SKILL_032,2026-01-01 00:00:31+00:00,1
SKILL_033,2026-01-01 00:00:32+00:00,0
SKILL_034,2026-01-01 00:00:33+00:00,1
SKILL_035,2026-01-01 00:00:34+00:00,1
SKILL_036,2026-01-01 00:00:35+00:00,1
SKILL_037,2026-01-01 00:00:36+00:00,1
SKILL_038,2026-01-01 00:00:37+00:00,0
SKILL_039,2026-01-01 00:00:38+00:00,1
SKILL_040,2026-01-01 00:00:39+00:00,1
SKILL_041,2026-01-01 00:00:40+00:00,0
SKILL_042,2026-01-01 00:00:41+00:00,1
SKILL_043,2026-01-01 00:00:42+00:00,1
SKILL_044,2026-01-01 00:00:43+00:00,1
SKILL_045,2026-01-01 00:00:44+00:00,1
SKILL_046,2026-01-01 00:00:45+00:00,1
SKILL_047,2026-01-01 00:00:46+00:00,1
SKILL_048,2026-01-01 00:00:47+00:00,1
SKILL_049,2026-01-01 00:00:48+00:00,1
SKILL_050,2026-01-01 00:00:49+00:00,1
SKILL_051,2026-01-01 00:00:50+00:00,1
SKILL_052,2026-01-01 00:00:51+00:00,1
SKILL_053,2026-01-01 00:00:52+00:00,1
SKILL_054,2026-01-01 00:00:53+00:00,0
SKILL_055,2026-01-01 00:00:54+00:00,1
SKILL_056,2026-01-01 00:00:55+00:00,0
SKILL_057,2026-01-01 00:00:56+00:00,1
SKILL_058,2026-01-01 00:00:57+00:00,0
SKILL_059,2026-01-01 00:00:58+00:00,1
SKILL_060,2026-01-01 00:00:59+00:00,1
SKILL_061,2026-01-01 00:01:00+00:00,1
